Base_Number,Base_Name,Pick_Up_Date,Number_of_Trips,Number_of_Vehicles
B00013,LOVE CORP CAR INC,01-01-2015,26,17
B00014,NY ONE CORP CAR INC,01-01-2015,45,24
B00029,COMMUNITY CAR SVC CORP,01-01-2015,731,36
B00053,CHARGE AND RIDE INC,01-01-2015,10,9
B00095,LIBERTY CAR SERVICE INC.,01-01-2015,814,62
B00221,PROFESSIONAL CAR SERVICE INC,01-01-2015,220,46
B00227,"PARK WEST EXEC. SERVICES, INC.",01-01-2015,36,28
B00248,YELLOWSTONE TRANSPORTATION INC.,01-01-2015,"1,137",106
B00254,XYZ TWO WAY RADIO,01-01-2015,236,103
B00280,FLEET RADIO DISPATCH CORP.,01-01-2015,47,29
B00310,WATSON CAR SERVICE INC.,01-01-2015,"1,792",119
B00381,BELL RADIO INC,01-01-2015,23,13
B00412,NYC 2 WAY INTERNATIONAL LTD,01-01-2015,83,20
B00457,PREMIUM BRONX CORP,01-01-2015,"1,846",86
B00477,INTA-BORO ACRES INC,01-01-2015,57,39
B00552,HINO-MARU ENTERPRISES INC.,01-01-2015,9,8
B00623,MANHATTAN INT'L LIMO NETWORK LLC,01-01-2015,4,2
B00837,CAREY LIMO N Y INC,01-01-2015,81,37
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01-01-2015,"1,765",579
B00919,HARLEM CARS INC.,01-01-2015,766,65
B00948,510 CAR SERVICE CORP,01-01-2015,445,46
B01066,DOMINICANA RAD DISP INC,01-01-2015,704,69
B01083,BROAD DYCKMAN C/S INC,01-01-2015,741,65
B01087,ELITE LIMO PLUS INC,01-01-2015,87,58
B01148,EVELYN CAR SERVICE INC,01-01-2015,485,49
B01197,"TEL-A-CAR OF NEW YORK, LLC",01-01-2015,23,12
B01282,NEW LOTS C/S INC,01-01-2015,581,43
B01285,UNION RADIO DISPATCH INC,01-01-2015,996,95
B01300,KENNEDY RAD DISP INC,01-01-2015,633,78
B01312,BROOKLYN RAD DISP INC,01-01-2015,390,49
B01313,JOY CAR SERVICES INC.,01-01-2015,10,10
B01315,"V.I.T. CAR SERVICE, INC.",01-01-2015,"1,234",120
B01341,A NEW DAY RAD DISP INC,01-01-2015,"1,035",97
b01346,ARECIBO C/S INC,01-01-2015,543,78
B01367    ,"ROYAL DISPATCH SERVICES, INC.",01-01-2015,13,8
B01386,FENIX CAR SVCE CORP,01-01-2015,"1,841",136
B01522,"STM ENTERPRISES,INC",01-01-2015,61,12
B01651,U.P.S. RADIO DISPATCH CORP.,01-01-2015,380,49
B01777,PREMIUM RADIO DISP & MULTI SVC,01-01-2015,"1,195",92
B01848,GRAND LIMO & CAR SERVICE INC.,01-01-2015,20,1
B01877,U.S.A. LIMO. INC.,01-01-2015,27,23
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",01-01-2015,341,41
B01984,NY 88 EXPRESS CORP.,01-01-2015,169,51
B01990,SUK INCORPORATED,01-01-2015,20,8
B02003,"AVALON CORPORATE CAR,INC.",01-01-2015,25,16
B02022,GOLD SEAL CAR & LIMO INC.,01-01-2015,15,6
B02096,"CET GROUP, INC",01-01-2015,3,3
B02107,APOLLO RADIO DISPATCH INC.,01-01-2015,"1,263",67
B02120,HARRISON GLOBAL LLC,01-01-2015,53,32
B02147,"MITA LIMOUSINE, INC.",01-01-2015,14,4
B02285,"VALERA GLOBAL, INC.",01-01-2015,28,23
B02475,ECKFORD LITE CAR & LIMO INC.,01-01-2015,8,3
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",01-01-2015,1,1
B02566,GSL LIMOUSINES CORP.,01-01-2015,1,1
B02569,GOGREENRIDE INC.,01-01-2015,54,1
B02653,NEW COLLEGE CAR SVCE INC,01-01-2015,"1,778",84
B02715,GROUNDANYWHERE LLC,01-01-2015,78,43
B00013,LOVE CORP CAR INC,01-02-2015,79,42
B00014,NY ONE CORP CAR INC,01-02-2015,110,62
B00029,COMMUNITY CAR SVC CORP,01-02-2015,"1,136",46
B00053,CHARGE AND RIDE INC,01-02-2015,26,22
B00095,LIBERTY CAR SERVICE INC.,01-02-2015,830,82
B00221,PROFESSIONAL CAR SERVICE INC,01-02-2015,354,72
B00227,"PARK WEST EXEC. SERVICES, INC.",01-02-2015,78,51
B00248,YELLOWSTONE TRANSPORTATION INC.,01-02-2015,"1,008",129
B00254,XYZ TWO WAY RADIO,01-02-2015,320,162
B00280,FLEET RADIO DISPATCH CORP.,01-02-2015,91,43
B00310,WATSON CAR SERVICE INC.,01-02-2015,"1,697",152
B00381,BELL RADIO INC,01-02-2015,78,41
B00412,NYC 2 WAY INTERNATIONAL LTD,01-02-2015,179,46
B00457,PREMIUM BRONX CORP,01-02-2015,"1,180",112
B00477,INTA-BORO ACRES INC,01-02-2015,136,73
B00552,HINO-MARU ENTERPRISES INC.,01-02-2015,14,11
B00623,MANHATTAN INT'L LIMO NETWORK LLC,01-02-2015,5,3
B00837,CAREY LIMO N Y INC,01-02-2015,121,58
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01-02-2015,"1,867",651
B00919,HARLEM CARS INC.,01-02-2015,594,76
B00948,510 CAR SERVICE CORP,01-02-2015,643,58
B01066,DOMINICANA RAD DISP INC,01-02-2015,674,84
B01083,BROAD DYCKMAN C/S INC,01-02-2015,830,98
B01087,ELITE LIMO PLUS INC,01-02-2015,142,88
B01148,EVELYN CAR SERVICE INC,01-02-2015,451,61
B01197,"TEL-A-CAR OF NEW YORK, LLC",01-02-2015,76,32
B01282,NEW LOTS C/S INC,01-02-2015,"1,117",71
B01285,UNION RADIO DISPATCH INC,01-02-2015,"1,341",140
B01300,KENNEDY RAD DISP INC,01-02-2015,705,108
B01312,BROOKLYN RAD DISP INC,01-02-2015,506,96
B01313,JOY CAR SERVICES INC.,01-02-2015,8,8
