DATE,TIME,PU_Address
07-01-2014,12:00:00 AM," 2976 Marion Ave Fordham, BX"
07-01-2014,12:01:00 AM," 780 Grand Concourse Cortlandt, BX"
07-01-2014,12:01:00 AM," 105 Elliot Pl High Bridge, BX"
07-01-2014,12:03:00 AM, 2825 Webb Ave Bronx
07-01-2014,12:04:00 AM," 1878 Cedar Ave Morris Heights, BX"
07-01-2014,12:05:00 AM, 15 E Clarke Pl Bronx
07-01-2014,12:05:00 AM," 721 Walton Ave Cortlandt, BX"
07-01-2014,12:07:00 AM, 70 Macombs Pl NYC
07-01-2014,12:08:00 AM," 134 W Fordham Rd Jerome, BX"
07-01-2014,12:08:00 AM," 2855 University Ave Jerome, BX"
07-01-2014,12:08:00 AM," 2802 Grand Concourse Fordham, BX"
07-01-2014,12:09:00 AM," 375 E 205th St Williamsbridge, BX"
07-01-2014,12:10:00 AM,"motel 4225 Webster Ave Woodlawn, BX"
07-01-2014,12:10:00 AM, 1605 Walton Ave Bronx
07-01-2014,12:11:00 AM," 1111 Gerard Ave High Bridge, BX"
07-01-2014,12:11:00 AM, 410 E 92 St NYC
07-01-2014,12:12:00 AM," se Washington Ave Tremont, BX"
07-01-2014,12:13:00 AM, 3415 Bainbridge Ave Bronx
07-01-2014,12:14:00 AM," 355 E 187th St Fordham, BX"
07-01-2014,12:17:00 AM, 2625 Grand Concourse Bronx
07-01-2014,12:18:00 AM," 268 W Fordham Rd Jerome, BX"
07-01-2014,12:20:00 AM," 2525 Aqueduct Ave Jerome, BX"
07-01-2014,12:23:00 AM," 2403 Hoffman St Fordham, BX"
07-01-2014,12:26:00 AM, 982 Avenue Saint John Bronx
07-01-2014,12:27:00 AM," 1995 Creston Ave Morris Heights, BX"
07-01-2014,12:29:00 AM,por riverside 3333 Broadway NYC
07-01-2014,12:30:00 AM," 2396 Morris Ave Jerome, BX"
07-01-2014,12:30:00 AM," 364 E 170th St Morrisania, BX"
07-01-2014,12:30:00 AM," 383 E 195th St Fordham, BX"
07-01-2014,12:33:00 AM," 2855 Claflin Ave Jerome, BX"
07-01-2014,12:33:00 AM," 1705 Montgomery Ave Morris Heights, BX"
07-01-2014,12:35:00 AM," 2654 Valentine Ave Fordham, BX"
07-01-2014,12:36:00 AM," 190 W Burnside Ave Morris Heights, BX"
07-01-2014,12:37:00 AM," 219 E 196th St Fordham, BX"
07-01-2014,12:39:00 AM, 2935 Cruger Ave Bronx
07-01-2014,12:40:00 AM," 2334 Tiebout Ave Fordham, BX"
07-01-2014,12:41:00 AM," 730 Oakland Pl Tremont, BX"
07-01-2014,12:43:00 AM, 2861 Exterior St Bronx
07-01-2014,12:45:00 AM," 119 E 157th St Cortlandt, BX"
07-01-2014,12:45:00 AM," 2401 Davidson Ave Jerome, BX"
07-01-2014,12:46:00 AM, 2260 University Ave Bronx
07-01-2014,12:48:00 AM," 779 Concourse Village E Cortlandt, BX"
07-01-2014,12:48:00 AM," 975 E 181st St Westfarms, BX"
07-01-2014,12:50:00 AM," 2324 Walton Ave Jerome, BX"
07-01-2014,12:50:00 AM, 1820 Loring Pl S Bronx
07-01-2014,12:51:00 AM," 2344 Davidson Ave Jerome, BX"
07-01-2014,12:54:00 AM, 1915 Andrews Avenue South Bronx
07-01-2014,12:54:00 AM," 1715 Popham Ave Morris Heights, BX"
07-01-2014,12:58:00 AM," 2409 Creston Ave Jerome, BX"
07-01-2014,1:00:00 AM," 268 W Fordham Rd Jerome, BX"
07-01-2014,1:01:00 AM," 461 Wales Ave South Bronx, BX"
07-01-2014,1:07:00 AM, 2611 3rd Ave Bronx
07-01-2014,1:07:00 AM," 2445 Williamsbridge Rd Baychester, BX"
07-01-2014,1:09:00 AM," 730 Oakland Pl Tremont, BX"
07-01-2014,1:09:00 AM, 1909 Andrews Avenue South Bronx
07-01-2014,1:10:00 AM," 2614 Decatur Ave Fordham, BX"
07-01-2014,1:12:00 AM, 1305 Amsterdam Ave NYC
07-01-2014,1:12:00 AM," 217 E 176th St Tremont, BX"
07-01-2014,1:13:00 AM," 237 E 194th St Fordham, BX"
07-01-2014,1:14:00 AM, 467 Brook Ave Bronx
07-01-2014,1:16:00 AM," 2045 Story Ave Clason Point, BX"
07-01-2014,1:17:00 AM," 2654 Valentine Ave Fordham, BX"
07-01-2014,1:17:00 AM," 2256 Story Ave Clason Point, BX"
07-01-2014,1:20:00 AM," 1242 Thieriot Ave Soundview, BX"
07-01-2014,1:20:00 AM," 1125 Findlay Ave Morrisania, BX"
07-01-2014,1:21:00 AM," 2760 Parkview Ter Jerome, BX"
07-01-2014,1:23:00 AM," 2629 Marion Ave Fordham, BX"
07-01-2014,1:24:00 AM, 2175 Cedar Ave Bronx
07-01-2014,1:25:00 AM, 940 East 149th St Bronx
07-01-2014,1:25:00 AM," 2416 Williamsbridge Rd Baychester, BX"
07-01-2014,1:26:00 AM," 2663 Heath Ave Kingsbridge, BX"
07-01-2014,1:26:00 AM," 75 W 190th St Jerome, BX"
07-01-2014,1:29:00 AM," 2045 Story Ave Clason Point, BX"
07-01-2014,1:31:00 AM," 1420 Washington Ave Morrisania, BX"
07-01-2014,1:32:00 AM," 1045 Anderson Ave High Bridge, BX"
07-01-2014,1:33:00 AM," 2744 Creston Ave Jerome, BX"
07-01-2014,1:33:00 AM," 156 E 184th St Jerome, BX"
07-01-2014,1:34:00 AM," 2045 Story Ave Clason Point, BX"
07-01-2014,1:36:00 AM, 1425 Plaza Dr Bronx
07-01-2014,1:36:00 AM," 2295 Andrews Ave N Jerome, BX"
07-01-2014,1:37:00 AM," sw Bailey Ave Kingsbridge, BX"
07-01-2014,1:39:00 AM," 111 E 167th St High Bridge, BX"
07-01-2014,1:39:00 AM, 200 W 147 St NYC
07-01-2014,1:39:00 AM, 840 Grand Concourse Bronx
07-01-2014,1:41:00 AM, 19 Van Cortlandt Ave E Bronx
07-01-2014,1:42:00 AM, 2187 Cruger Ave Bronx
07-01-2014,1:43:00 AM,"booster SW Jerome Ave Morris Heights, BX"
07-01-2014,1:43:00 AM," 185 Mc Clellan St Morrisania, BX"
07-01-2014,1:48:00 AM, 1721 Grand Ave Bronx
07-01-2014,1:49:00 AM, 1879 Westchester Ave Bronx
07-01-2014,1:50:00 AM," 2260 Crotona Ave Tremont, BX"
07-01-2014,1:50:00 AM," 2825 Webb Ave Jerome, BX"
07-01-2014,1:51:00 AM, 1425 Plaza Dr Bronx
07-01-2014,1:53:00 AM," 1260 Findlay Ave Morrisania, BX"
07-01-2014,1:54:00 AM," 2001 University Ave Morris Heights, BX"
07-01-2014,1:58:00 AM, 2300 Loring Pl N Bronx
07-01-2014,2:00:00 AM," 1406 Merriam Ave High Bridge, BX"
07-01-2014,2:05:00 AM, 3435 Giles Place Bronx
07-01-2014,2:05:00 AM," 2316 Andrews Ave N Jerome, BX"
07-01-2014,2:05:00 AM," 480 E 176th St Tremont, BX"
