DATE,TIME,PICK_UP_ADDRESS
07-01-2014,12:00:00 AM," 2557 Marion Ave Fordham, BX"
07-01-2014,12:00:00 AM," 45 E Mosholu Pkwy N Williamsbridge, BX"
07-01-2014,12:00:00 AM," 458 E 143rd St Mott Haven, BX"
07-01-2014,12:02:00 AM,"MINIVAN SUV 2557 Marion Ave Fordham, BX"
07-01-2014,12:02:00 AM," 1117 Westchester Ave Foxhurst, BX"
07-01-2014,12:02:00 AM," 250 Bedford Park Blvd W Jerome, BX"
07-01-2014,12:03:00 AM," 3450 Wayne Ave Williamsbridge, BX"
07-01-2014,12:04:00 AM," 740 E 175th St Tremont, BX"
07-01-2014,12:04:00 AM," 325 E 206th St Williamsbridge, BX"
07-01-2014,12:04:00 AM," 2384 Hughes Ave Fordham, BX"
07-01-2014,12:05:00 AM, 1150-1222 Findlay Ave Bronx
07-01-2014,12:06:00 AM," 3796 Bronx Blvd Williamsbridge, BX"
07-01-2014,12:06:00 AM,"SALON 665 Burke Ave Williamsbridge, BX"
07-01-2014,12:06:00 AM," 352 E Gun Hill Rd Williamsbridge, BX"
07-01-2014,12:06:00 AM," 1001 Jerome Ave High Bridge, BX"
07-01-2014,12:06:00 AM," 420 E 169th St Morrisania, BX"
07-01-2014,12:08:00 AM," 2429 Prospect Ave Fordham, BX"
07-01-2014,12:08:00 AM," 838 E 231st St Wakefield, BX"
07-01-2014,12:09:00 AM," 2305 Wallace Ave Williamsbridge, BX"
07-01-2014,12:10:00 AM," 2829 Edson Ave Baychester, BX"
07-01-2014,12:10:00 AM," 2251 Holland Ave Williamsbridge, BX"
07-01-2014,12:11:00 AM,"MINIVAN SUV 130 W 166th St High Bridge, BX"
07-01-2014,12:11:00 AM," 323 E Gun Hill Rd Williamsbridge, BX"
07-01-2014,12:11:00 AM," 225 E 234th St Woodlawn, BX"
07-01-2014,12:13:00 AM," 3845 Carpenter Ave Williamsbridge, BX"
07-01-2014,12:13:00 AM," 2305 Wallace Ave Williamsbridge, BX"
07-01-2014,12:13:00 AM," 2536 Boston Rd Williamsbridge, BX"
07-01-2014,12:13:00 AM," 3530 Holland Ave Williamsbridge, BX"
07-01-2014,12:14:00 AM,"CHILDREN HOSP 3415 Bainbridge Ave Williamsbridge, BX"
07-01-2014,12:14:00 AM," 340 E 184th St Fordham, BX"
07-01-2014,12:15:00 AM," 3335 Hull Ave Williamsbridge, BX"
07-01-2014,12:15:00 AM, 2307 Morris Ave Bronx
07-01-2014,12:15:00 AM," 294 E 204th St Williamsbridge, BX"
07-01-2014,12:18:00 AM, 2270 Washington Ave Bronx
07-01-2014,12:19:00 AM," 3335 Hull Ave Williamsbridge, BX"
07-01-2014,12:19:00 AM, 2417 Young Ave Bronx
07-01-2014,12:19:00 AM," 3190 Rochambeau Ave Williamsbridge, BX"
07-01-2014,12:19:00 AM," 2324 Walton Ave Jerome, BX"
07-01-2014,12:19:00 AM," 1298 Shakespeare Ave High Bridge, BX"
07-01-2014,12:20:00 AM, 281 West Fordham Rd Bronx
07-01-2014,12:20:00 AM,"B P GAS 4201 Webster Ave Woodlawn, BX"
07-01-2014,12:20:00 AM," 830 Beck St Foxhurst, BX"
07-01-2014,12:21:00 AM, 2964 Williamsbridge Rd Bronx
07-01-2014,12:23:00 AM,"42nd Precinct Police-Bronx 830 Washington Ave Cortlandt, BX"
07-01-2014,12:23:00 AM," 1357 Clinton Ave Morrisania, BX"
07-01-2014,12:24:00 AM,"BASE 3108 Webster Ave Williamsbridge, BX"
07-01-2014,12:24:00 AM," 2423 Arthur Ave Fordham, BX"
07-01-2014,12:25:00 AM," 1615 Hobart Ave Morris Park, BX"
07-01-2014,12:25:00 AM," 960 Sheridan Ave Morrisania, BX"
07-01-2014,12:25:00 AM," 420 E 169th St Morrisania, BX"
07-01-2014,12:25:00 AM," 678 E 225th St Wakefield, BX"
07-01-2014,12:25:00 AM," 2884 E 194th St Morris Park, BX"
07-01-2014,12:26:00 AM," 3642 White Plains Rd Williamsbridge, BX"
07-01-2014,12:27:00 AM," 321 E 153rd St Cortlandt, BX"
07-01-2014,12:28:00 AM,"LINCOLN HOSP: MAIN 499 Morris Ave Cortlandt, BX"
07-01-2014,12:29:00 AM,"PARKER BUILDING 1500 Waters Pl Morris Park, BX"
07-01-2014,12:29:00 AM," 1930 Grand Concourse Tremont, BX"
07-01-2014,12:29:00 AM," 3511 Hull Ave Williamsbridge, BX"
07-01-2014,12:31:00 AM," 2532 Cruger Ave Williamsbridge, BX"
07-01-2014,12:31:00 AM," 2089 Arthur Ave Tremont, BX"
07-01-2014,12:34:00 AM," 1834 Lurting Ave Morris Park, BX"
07-01-2014,12:34:00 AM," 457 E 187th St Fordham, BX"
07-01-2014,12:34:00 AM," 2746 Wallace Ave Williamsbridge, BX"
07-01-2014,12:34:00 AM, 1457 Pelham Parkway North Bronx
07-01-2014,12:35:00 AM, 247 Bedford Park Blvd Bronx
07-01-2014,12:36:00 AM, 420 Riverside Dr NYC
07-01-2014,12:36:00 AM," 331 E 204th St Williamsbridge, BX"
07-01-2014,12:36:00 AM," 801 Tilden St Williamsbridge, BX"
07-01-2014,12:38:00 AM," 913 E 219th St Baychester, BX"
07-01-2014,12:38:00 AM,"MAIN 1825 Eastchester Rd Morris Park, BX"
